Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/13,,,,,,,,0,,0,,,,,,,,
2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0           II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0       0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKRDP   PKRDP603             038236033202,,,,,,,,,,$1.80,,,$4.70,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKRDP60 5            PA PROF .5MM MECH.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
PKRDP   PKRDP605              038236033226,,,,,,,,,,$1.80,,,$4.70,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  KRDP60 7            PA PROF .7MMMECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
PKRDP   PKRDP607             038236033240,,,,,,,,,,$1.80,,,$4.70,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  KRDP609            PA PROF .9MMMECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
PKRDP   PKRDP609             038236033264,,,,,,,,,,$1.80,,,$4.70,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  KSSTQ24            24 IN. TSQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
PKSST    PK SSTQ24             038236012368,,,,,,,,,,$10.90,,,$27.25,,,,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  L509HB              LEAD MECH PCL .9M,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
PL509     PL509HB                072512007983,,,,,,,,,,$0.49,,,$2.00,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPLBG202BPA       SLICCI .25MM GEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
PLBG2    PLBG202BPA        072512235089,,,,,,,,,,$1.70,,,$3.15,,,,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPLFPIOBP 6A         INK REFILL 6PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
PLFPl0   PLFP10BP6A         072512244999,,,,,,,,,,$6.10,,,$11.97,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PLFP5MBPA        COLOR BRUSH BLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
PLFP5     PLFP5MBPA          072512245804,,,,,,,,,,$4.03,,,$8.39,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPLFRHMBP          AQUA BRUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
PLFRH    PLFRHMBP           072512226537,,,,,,,,,,$3.55,,,$7.10,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPLFRHMNBPA     AQUA BRUSH W/BLA
ss
ss
ss   SS  PLGFLBPlOI        COLOR BRUSH SINGL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLFRH    PLFRHMNBPA
ss   SS  PLGFKP3BPA",,,,,"072512245811
IPK POCKET BRUSH P",,,,,,$4.81,,$9.89,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLGFK    PLGFKP3BPA,,,,,072512235904,,,,,,$9.20,,$19.99,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2            8         No
0            6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,0,,,,,,,,
"2            8         No
0           7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,0,,,,,,,,
PLGFL    PLGFLBPIOl          072512226902                    $4.03                    $8.39      EA        Yes          ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID                      Description                                       Dept          Maaufacturer                                      Location               Min       Max            Deleted              Active
Product ID   Alternate ID          Barcode                         Cost                       Price          Unit     Tax            Supplier I       Supplier2                  QCom    QOH  Note        Multiplier           Fixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss
PLGFL",,SSPLGFLFRHBP PLGFLFRHBP,,,,COLOR BRUSH SET 072512245347,,,,,$11.60,,,,$23.20,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,No 0,,reg 29.,,,,,Yes,,,0,,,0,,,,,,,
"ss
PUM2",,"SSPLJM20BPAE
PUM20BPAE",,,,"STYLO SKETCH PEN C
072512236536",,,,,$1.78,,,,$3.49,,,,,,,,,Yes,,,ss,,,4,,,,,,,,,0,,16,,,"No
5",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLK90",,"SSPLK908W
PLK908W",,,,"SUNBURST GEL  ROLL
072512242032",,,,,$0.95,,,,$1.99,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,No I,,reg 1.9,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLK96",,"SSPLK96BP4M
PLK96BP4M",,,,"PENTEL SOLAR POP 4
072512271643",,,,,$4.69,,,,$10.76,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,No,,,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLK96",,"SSPLK96BP8M
PLK96BP8M",,,,"PENTEL SOLAR POP 8
072512270646",,,,,$9.36,,,,$21.52,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,"No
1",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLK98",,"SSPLK98BP4M
PLK98BP4M",,,,PENTEL MILKY POP 4 072512272688,,,,,$5.49,,,,$10.76,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,"No
I",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLKNl",,"SSPLKN103456BP
PLKN103456BP",,,,"HYBRID TECH. 4PK
072512242940",,,,,$4.79,,,,$11.96,,,,,,,,,Yes,,,ss,,,2,,,,,,,,,0,,8,,,"No
0",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLKNl",,"SSPLKN103A
PLKNI03A",,,,"HYBRID TECH. Pf!N .3
072512242391",,,,,$1.21,,,,$2.99,,,,,EA,,,,Yes,,,ss,,,3,,,,,,,,,0,,15,,,"No
I",,reg   2 .7,,,,,Yes,,,0,,,0,,,,,,,
"ss
PLKNI",,SSPLKN104A PLKN104A,,,,HYBRID TECH. PEN .4 072512242421,,,,,$1.21,,,,$2.99,,,,,Yes,,,,,,,ss,,,4,,,,,,,,,0,,"16          No                      Yes
13                                        0       0",,,,,,,,,,,,,,,,,,,,,,,
"ss
PLKNI",,SSPLKNI05A PLKNl05A,,,,HYBRID TECH. PEN .5 072512242452,,,,,$1.35,,,,$2.99,,,,,EA,,,,Yes,,,ss,,,3,,,,,,,,,0,,15,,,"No
2     reg",,,,2 . 7,,,Yes,,,0,,,0,,,,,,,
"ss
PLKNl",,SSPLKNI06A PLKNI06A,,,,HYBRID TECH. PEN .6 072512242483,,,,,$1.22,,,,$2.99,,,,,EA,,,,Yes,,,ss,,,3,,,,,,,,,0,,15,,,"No
8     reg2.7",,,,,,,Yes,,,0,,,0,,,,,,,
ss,,SSPLKNl08A,,,,HYBRID TECH. PEN .8,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,15,,,,,No,,Yes,,,,,,,,,,,,,,,,,,
PLKNl,,PLKN108A,,,,072512254059,,,,,$1.21,,,,$2.99,,,,,Yes,,,,,,,ss,,,,,,,,,,,,0,,,,,7,,,,,,,,,,0,,,0,,,,,,,
"ss
PLKNl",,SSPLKNI0BP5A PLKN10BP5A,,,,TECHNICA BLACK GE 072512254042,,,,,$7.48,,,,$14.95,,,,,EA,,,,Yes,,,ss,,,"2             8         No                     Yes
0            15                                             0       0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPLMU20A             TRADIO STYLO REFIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,13,,,,,No,,Yes,,,,,,,,,,,,,,,,,,
PLMU    PLMU20A              072512087503,,,,,,,,,,,$1.65,,,,$3.06,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,7,,,,,,,,,,0,,,0,,,,,,,
"ss   SSPLPPB5                  .5MM BLUE COLORED
PLPPB     PLPPB5                   072512008157",,,,,,,,,,,$0.86,,,,$1.59,,,,,Yes,,,,,,,ss,,,0,,,,,,,,,,,"6          No                     Yes
0                                           0       0",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPLPPB7                  .7MM BLUE COLORED
PLPPB     PLPPB7                   072512032336",,,,,,,,,,,$0.76,,,,$1.59,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,,,"6          No                     Yes
0                                            0        0",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPLPPR5                  .5MM RED COLORED
PLPPR     PLPPR5                   072512008126",,,,,,,,,,,$0.86,,,,$1.59,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,,,"6          No                     Yes
0                                            0       0",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPLPPR7                  .7MM RED COLORED
PLPPR     PLPPR7                   072512032305",,,,,,,,,,,$0.86,,,,$1.59,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,,,"6          No                     Yes
0                                            0       0",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPLS520A                FIBER TIP SIGN PEN B,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,4,,,,,,,,,16          No                     Yes,,,,,,,,,,,,,,,,,,,,,,,,,
PLS520   PLS520A                 072512100004,,,,,,,,,,,$0.77,,,,$1.79,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0            12      reg    1.6                          0      0,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,Dept         Ma_ufacturer                                      Location                Mia   Max            Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,Cost,,,,Price          Unit     Tax           Supplier 1       Supplier 2                   QCom    QOH  Note        Multiplier           Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPLS520BP2A       SIGN PEN WATER PLS520   PLS520BP2A         072512236284,,,,,,,,,,$1.65,,,$3.58,,,,,,,,,,Yes,,,ss,,,2,,,,,,,,,0,,,8,,No 4,,,,,,,Yes,,,0,,,0,,,,,,,,
"ss   S SPLSD98PABPA    FINITO PIGMENT
PLSD9    PLSD98PABPA     072512249581",,,,,,,,,,Sl.12,,,$2.19,,,,,,,,,,Yes,,,ss,,,2,,,,,,,,,0,,,8,,"No
4",,,,,,,Yes,,,0,,,0,,,,,,,,
"ss   SSPLSESlSN A         SIGN PEN BRUSH TIP
PLSES    PLSESISNA           072512247006",,,,,,,,,,$1.70,,,$3.40,,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,,0,,"No
0",,,reg4.2,,,,Yes,,,0,,,0,,,,,,,,
"ss   SSPLSESISNBPA    SIGN PEN BRUSH WAT                                                                                                                                  2         14         No                   Yes
PLSES     PLSES15NBPA     072S12245828                   $1.38                   $2.99                   Yes         ss                 0         14                                      0      0
ss   SSPLSTISOA            SIGN PEN PIGMENT IN                                                                                                                                   0           0         No                   Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLST15   PLST150A             072S12247037,,,,,,,,,,,$2.lO,,,,$4.19,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0    1/14/1,,,,,,,,,,0,,,0,,,,,,,
ss   SSPLST150BPA       SIGN PEN PERMANEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,14,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PLST15   PLST150BPA        07251224583S,,,,,,,,,,,$2.01,,,,$4.19,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,8,,,,,,,,,,0,,,0,,,,,,,
ss   SSPLTRJSOBPA       TRADIO STYLO PEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PLTRJ5   PLTRJ50BPA        072512246993,,,,,,,,,,,$7.80,,,,$15.30,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SSPU2 1N                MECH PENCIL ERASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,14,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PIZ21     PU2 1N                 884851014719,,,,,,,,,,,$0.85,,,,$1.49,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSPNM1016             GIANT OVAL ERASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,16,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PNMlO   MLPNMI OI6         841403461040,,,,,,,,,,,$0.88,,,,$2.19,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0          18    11/11                         0      0,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPPS4651               RR BD PCK 22X28 4PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,35        No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,
PP5465    PP5465 I                 045173546511,,,,,,,,,,,$0.47,,,,SI.IS,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0          40                                      0      0,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPP54721               RR BD PCK 22X28 4PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,30         No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,
PP5472   PP54721                045173547211,,,,,,,,,,,$0.47,,,,$1.15,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0         36    9/13                           0      0,,,,,,,,,,,,,,,,,,,,,,,,,
ss        SSPT02160S             ARTIST TAPE 1 IN. X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2           3         No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT0216   PT021605              PT021605,,,,,,,,,,,$5.30,,,,$13.25,,,,,EA,,,,Yes,,,ss,,,,,,,,,,0           0                                      0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS PTUPCA160MW  ARTIST TAPE WHITE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3         No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTIJPC    PTUPCA160MW   840178006523,,,,,,,,,,,$5.46,,,,$13.65,,,,,EA,,,,Yes,,,ss,,,,,,,,,,0            I                                       0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SQT10S007            ALPHACOWR PASTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ART AISLE,,,,,,,0           0         No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTIOS    QT10S007              0341380S0071,,,,,,,,,,,$5.00,,,,$9.99,,,,,BX,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,,,,,
"ss   SSRCI 160602          SNAZAROO FACE PAI
RCil6    RC1160602            766416496027",,,,,,,,,,,$2.70,,,,$5.99,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,0,,,,,,"No
0",,,,,,Yes,,,0,,,0,,,,,,,
"ss   SSRCl 160603          SNAZAROO FACE PAI
RC116    RC1160603           766416496676",,,,,,,,,,,$2.70,,,,$5.99,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,0,,,,,,"No
1",,,,,,Yes,,,0,,,0,,,,,,,
ss   SSRCl 172067           SNAZAROO FACE PAI                                                                                                                                                 3         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
RC117    RCl172067            766416101495                   $8.lO                 $17.99      EA        Yes         ss                 0             I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
ss   S SRC1172072           FACE PAINT STICKS 6                                                                                                                                    1           3         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
RC117    RCl172072            766416496669,,,,,,,,,,,$2.70,,,,$5.99,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,,2,,,,,,,,,0,,,0,,,,,,,
"ss   SSRCl 172074          SNAZAROO RAINBOW
RC117    RCl1 72074            766416496645",,,,,,,,,,,$2.70,,,,$5.99,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,,,,2,,,"No
3",,,,,,Yes,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 143 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,Dept         Ma_ufacturer                                    Location               Min       Mu             Deleted             Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,Cost,,,,Price          Uait     Tu             Supplier l       Supplier 2                  QCom    QOH      Note        Multiplier           Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSRC1180146           SNAZAROO FACE PAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,No,,,,,,,Yes,,,,,,,,,,,,,
RC118    RC1180146            766416640062,,,,,,,,,,,$4.50,,,,$9.99      EA,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
ss   SSRCl 180147           SNAZAROO BRUSH PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
RC118     RC1180147            766416640079,,,,,,,,,,,$4.50,,,,$9.99      EA,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,,,,,,,,,0,,,0,,,,,,,
ss   SSRC8493264           REEVES W/C 18 SET 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
RC849    RC8493264            780804861778,,,,,,,,,,,$8.01,,,,$17.79      EA,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
ss   SS RC8591008           REEVES OIL 24 TUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAINTSET,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
RC859     RC8591008            780804861884,,,,,,,,,,,$10.44,,,,$23.19      EA,,,,,,,,,Yes,,,s,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
ss   SS  RC8693356           REEVES GOUACHE 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
RC869     RC8693356            780804861853,,,,,,,,,,,$10.44,,,,$23.19      EA,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
ss   SSRHl 8601               3 HOLE 8 1/4 X 11 LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
RH186    RH18601                65450718601 l,,,,,,,,,,,$4.05,,,,$9.00      EA,,,,,,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0     2/22/1,,,,,,,,,,0,,,0,,,,,,,
ss   SSRS255030001        SIMPLY S W/C RIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2550   RS255030001         038372021538,,,,,,,,,,,$1.78,,,,$4.95      EA,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,0,,,reg $4.,,,,,,,0,,,0,,,,,,,
ss   SSRS255030002        SIMPLY S W/C RIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2550   RS255030002        038372021545,,,,,,,,,,,$1.82,,,,$4.95      EA,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,2,,,reg $4.,,,,,,,0,,,0,,,,,,,
ss   SS RS255030003       SIMPLY S W/C RIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2550   RS255030003         038372021552,,,,,,,,,,,$1.78,,,,$4.95      EA,,,,,,,,,Yes,,,s,,,0,,,,,,,,,,,,,,3,,,re g $4.,,,,,,,0,,,0,,,,,,,
ss   SSRS255030099        SIMPLY S W/C RIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2550   RS255030099         038372021521,,,,,,,,,,,$1.78,,,,$4.95      EA,,,,,,,,,Yes,,,s,,,0,,,,,,,,,,,,,,2,,,reg$4.,,,,,,,0,,,0,,,,,,,
ss   SS  RS255052050       SIMPLY S W/C OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2550   RS255052050         038372021712,,,,,,,,,,,$1.75,,,,$4.9S      EA,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,2,,,r e g $4.,,,,,,,0,,,0,,,,,,,
ss   SS RS2550520 75       SIMPLY S WC 3/4 MOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
"RS2550   RS2550,52075        038372021729",,,,,,,,,,,$1.78,,,,$4.95      EA,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,3,,,reg $4.,,,,,,,0,,,0,,,,,,,
ss   SS RS255052100       SIMPLY S W/C OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS25S0   RS2S5052100         038372021736,,,,,,,,,,,$1.78,,,,$4.9S,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,0,,,r eg  $4.,,,,,,,0,,,0,,,,,,,
ss   SS  RS25S0530S0       SIMPLY S W/C OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
RS2S50   RS25S053050        038372021590,,,,,,,,,,,$1.78,,,,$4.95      EA,,,,,,,,,Yes,,,ss,,,0,,,,,,,,,,,,,,1,,,reg $4.,,,,,,,0,,,0,,,,,,,
ss   SSRS255053075       SIMPLY S W/C OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
